"","control","treatment1","treatment2","sampled_numbers","repeat.","diff","label"
"1",4,3.33333333333333,3,9,100,1,"blocked"
"2",3,2.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"3",4,3.66666666666667,4.33333333333333,9,100,0.666666666666667,"blocked"
"4",2.66666666666667,3,3.66666666666667,9,100,1,"blocked"
"5",2,2.66666666666667,2,9,100,0.666666666666667,"blocked"
"6",3.33333333333333,2,2,9,100,1.33333333333333,"blocked"
"7",2.33333333333333,2,3.66666666666667,9,100,1.66666666666667,"blocked"
"8",3.66666666666667,4,4,9,100,0.333333333333333,"blocked"
"9",2.66666666666667,2,2.33333333333333,9,100,0.666666666666667,"blocked"
"10",3.33333333333333,3,4,9,100,1,"blocked"
"11",2.33333333333333,2.33333333333333,2.66666666666667,9,100,0.333333333333333,"blocked"
"12",3.33333333333333,3.66666666666667,4,9,100,0.666666666666667,"blocked"
"13",2,3,3.33333333333333,9,100,1.33333333333333,"blocked"
"14",3.33333333333333,2.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"15",3,3.33333333333333,2.66666666666667,9,100,0.666666666666667,"blocked"
"16",3,3.33333333333333,3,9,100,0.333333333333333,"blocked"
"17",3,2.66666666666667,3,9,100,0.333333333333333,"blocked"
"18",2.33333333333333,2,2.33333333333333,9,100,0.333333333333333,"blocked"
"19",3,2.66666666666667,3,9,100,0.333333333333333,"blocked"
"20",4.33333333333333,3.33333333333333,2.66666666666667,9,100,1.66666666666667,"blocked"
"21",3,3.33333333333333,3.33333333333333,9,100,0.333333333333333,"blocked"
"22",3.33333333333333,4.33333333333333,3.33333333333333,9,100,1,"blocked"
"23",3.33333333333333,2.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"24",2,2.33333333333333,2.33333333333333,9,100,0.333333333333333,"blocked"
"25",3.66666666666667,3,3.66666666666667,9,100,0.666666666666667,"blocked"
"26",3.33333333333333,3.33333333333333,2.66666666666667,9,100,0.666666666666667,"blocked"
"27",3,2.33333333333333,2.66666666666667,9,100,0.666666666666667,"blocked"
"28",3.66666666666667,2.66666666666667,3.66666666666667,9,100,1,"blocked"
"29",3.66666666666667,3,3,9,100,0.666666666666667,"blocked"
"30",3,3,3.33333333333333,9,100,0.333333333333333,"blocked"
"31",3.33333333333333,2.66666666666667,2.33333333333333,9,100,1,"blocked"
"32",2.33333333333333,2.33333333333333,1.66666666666667,9,100,0.666666666666667,"blocked"
"33",2.66666666666667,3.33333333333333,3.33333333333333,9,100,0.666666666666667,"blocked"
"34",2.66666666666667,3,3,9,100,0.333333333333333,"blocked"
"35",2,2.33333333333333,2.33333333333333,9,100,0.333333333333333,"blocked"
"36",4,2.66666666666667,3.66666666666667,9,100,1.33333333333333,"blocked"
"37",2.33333333333333,3.66666666666667,2.33333333333333,9,100,1.33333333333333,"blocked"
"38",2.33333333333333,4,4,9,100,1.66666666666667,"blocked"
"39",3.66666666666667,2,2.33333333333333,9,100,1.66666666666667,"blocked"
"40",2.66666666666667,4,4,9,100,1.33333333333333,"blocked"
"41",2.66666666666667,1.33333333333333,2.66666666666667,9,100,1.33333333333333,"blocked"
"42",3.33333333333333,3.33333333333333,3.33333333333333,9,100,0,"blocked"
"43",3.33333333333333,2.66666666666667,3.66666666666667,9,100,1,"blocked"
"44",2.33333333333333,2.66666666666667,2.66666666666667,9,100,0.333333333333333,"blocked"
"45",3,2.66666666666667,2.66666666666667,9,100,0.333333333333333,"blocked"
"46",2,3,3.66666666666667,9,100,1.66666666666667,"blocked"
"47",3.33333333333333,2,2.66666666666667,9,100,1.33333333333333,"blocked"
"48",3.66666666666667,3.33333333333333,2.66666666666667,9,100,1,"blocked"
"49",2.66666666666667,2.33333333333333,2,9,100,0.666666666666667,"blocked"
"50",3,3.33333333333333,3,9,100,0.333333333333333,"blocked"
"51",3,2.33333333333333,3,9,100,0.666666666666667,"blocked"
"52",3,1.66666666666667,3.33333333333333,9,100,1.66666666666667,"blocked"
"53",3,4.33333333333333,3,9,100,1.33333333333333,"blocked"
"54",2.33333333333333,3.66666666666667,2.66666666666667,9,100,1.33333333333333,"blocked"
"55",2.66666666666667,2,4.33333333333333,9,100,2.33333333333333,"blocked"
"56",2.66666666666667,2.33333333333333,2.66666666666667,9,100,0.333333333333333,"blocked"
"57",2,3,3.33333333333333,9,100,1.33333333333333,"blocked"
"58",2.33333333333333,2.66666666666667,3,9,100,0.666666666666667,"blocked"
"59",2.66666666666667,3.33333333333333,3.33333333333333,9,100,0.666666666666667,"blocked"
"60",3.33333333333333,3,3.33333333333333,9,100,0.333333333333333,"blocked"
"61",3.66666666666667,3.33333333333333,4,9,100,0.666666666666667,"blocked"
"62",3,2.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"63",4,2.33333333333333,2.33333333333333,9,100,1.66666666666667,"blocked"
"64",4.33333333333333,4,3.66666666666667,9,100,0.666666666666667,"blocked"
"65",3,3.33333333333333,4.33333333333333,9,100,1.33333333333333,"blocked"
"66",3,2.33333333333333,3,9,100,0.666666666666667,"blocked"
"67",2.66666666666667,2.33333333333333,3.33333333333333,9,100,1,"blocked"
"68",2.66666666666667,2.66666666666667,2.33333333333333,9,100,0.333333333333333,"blocked"
"69",3.66666666666667,4,3.33333333333333,9,100,0.666666666666667,"blocked"
"70",3,2.66666666666667,2.66666666666667,9,100,0.333333333333333,"blocked"
"71",4,3.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"72",3.66666666666667,2.66666666666667,2.66666666666667,9,100,1,"blocked"
"73",3.66666666666667,4,4,9,100,0.333333333333333,"blocked"
"74",2.66666666666667,2.66666666666667,2.66666666666667,9,100,0,"blocked"
"75",1.66666666666667,2.66666666666667,2.66666666666667,9,100,1,"blocked"
"76",4,3.66666666666667,3.66666666666667,9,100,0.333333333333333,"blocked"
"77",2.33333333333333,3,3,9,100,0.666666666666667,"blocked"
"78",2,2.66666666666667,2,9,100,0.666666666666667,"blocked"
"79",2,3.33333333333333,3,9,100,1.33333333333333,"blocked"
"80",3,2.33333333333333,2.66666666666667,9,100,0.666666666666667,"blocked"
"81",4.33333333333333,4.33333333333333,3.66666666666667,9,100,0.666666666666667,"blocked"
"82",3.33333333333333,4,3,9,100,1,"blocked"
"83",2.33333333333333,3,2,9,100,1,"blocked"
"84",2,2.66666666666667,2.66666666666667,9,100,0.666666666666667,"blocked"
"85",2.33333333333333,2.33333333333333,3.66666666666667,9,100,1.33333333333333,"blocked"
"86",4,3.33333333333333,3.33333333333333,9,100,0.666666666666667,"blocked"
"87",3,2.66666666666667,2.66666666666667,9,100,0.333333333333333,"blocked"
"88",3.66666666666667,3,3.33333333333333,9,100,0.666666666666667,"blocked"
"89",2,2.33333333333333,3.33333333333333,9,100,1.33333333333333,"blocked"
"90",3.66666666666667,2.33333333333333,2.33333333333333,9,100,1.33333333333333,"blocked"
"91",2.66666666666667,2.33333333333333,2.66666666666667,9,100,0.333333333333333,"blocked"
"92",2.66666666666667,3.66666666666667,2.66666666666667,9,100,1,"blocked"
"93",2.33333333333333,3.66666666666667,3.66666666666667,9,100,1.33333333333333,"blocked"
"94",2,3,3.66666666666667,9,100,1.66666666666667,"blocked"
"95",3,3.33333333333333,2.66666666666667,9,100,0.666666666666667,"blocked"
"96",3,2.66666666666667,3,9,100,0.333333333333333,"blocked"
"97",2.33333333333333,2,2.33333333333333,9,100,0.333333333333333,"blocked"
"98",3.33333333333333,4,3.33333333333333,9,100,0.666666666666667,"blocked"
"99",2,3.33333333333333,3.33333333333333,9,100,1.33333333333333,"blocked"
"100",3.33333333333333,2.66666666666667,3.33333333333333,9,100,0.666666666666667,"blocked"
"101",3.16666666666667,3,3.5,18,100,0.5,"blocked"
"102",3.83333333333333,3.16666666666667,3.66666666666667,18,100,0.666666666666667,"blocked"
"103",2.16666666666667,2.5,2.33333333333333,18,100,0.333333333333333,"blocked"
"104",3.16666666666667,3.5,3.16666666666667,18,100,0.333333333333333,"blocked"
"105",3.16666666666667,2.66666666666667,2.83333333333333,18,100,0.5,"blocked"
"106",3,3,3.16666666666667,18,100,0.166666666666667,"blocked"
"107",2.83333333333333,3.16666666666667,2.83333333333333,18,100,0.333333333333333,"blocked"
"108",3,3,3.16666666666667,18,100,0.166666666666667,"blocked"
"109",2.83333333333333,2.33333333333333,2.5,18,100,0.5,"blocked"
