"","control","treatment1","treatment2","treatment3","treatment4","sampled_numbers","repeat.","diff","label"
"1",3,3.66666666666667,3.66666666666667,3.33333333333333,3,15,100,0.666666666666667,"blocked"
"2",3.66666666666667,3.33333333333333,3.33333333333333,3,3.33333333333333,15,100,0.666666666666667,"blocked"
"3",3,3.66666666666667,3.33333333333333,2.33333333333333,1.66666666666667,15,100,2,"blocked"
"4",2.66666666666667,3,2.66666666666667,2.33333333333333,2.33333333333333,15,100,0.666666666666667,"blocked"
"5",2.66666666666667,3.66666666666667,2.33333333333333,4,4,15,100,1.66666666666667,"blocked"
"6",3.33333333333333,3,2.33333333333333,3.66666666666667,2.33333333333333,15,100,1.33333333333333,"blocked"
"7",2.66666666666667,3,2,2.66666666666667,3.33333333333333,15,100,1.33333333333333,"blocked"
"8",4,3,3.33333333333333,3,3.33333333333333,15,100,1,"blocked"
"9",3,2.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,15,100,1,"blocked"
"10",3,2.33333333333333,3.66666666666667,3.33333333333333,2.33333333333333,15,100,1.33333333333333,"blocked"
"11",2.33333333333333,2.66666666666667,2,3.33333333333333,2.33333333333333,15,100,1.33333333333333,"blocked"
"12",2.66666666666667,4,2.66666666666667,3.33333333333333,3.66666666666667,15,100,1.33333333333333,"blocked"
"13",3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,15,100,0.333333333333333,"blocked"
"14",2.33333333333333,3,3,3,2.66666666666667,15,100,0.666666666666667,"blocked"
"15",3.66666666666667,3,2.33333333333333,3.66666666666667,3,15,100,1.33333333333333,"blocked"
"16",3,2.33333333333333,3,3.33333333333333,3,15,100,1,"blocked"
"17",3.66666666666667,2.33333333333333,3,3.66666666666667,2.66666666666667,15,100,1.33333333333333,"blocked"
"18",4.33333333333333,2.66666666666667,3,3.33333333333333,3,15,100,1.66666666666667,"blocked"
"19",3.33333333333333,2.33333333333333,2.33333333333333,3,2,15,100,1.33333333333333,"blocked"
"20",2.33333333333333,2.33333333333333,3.66666666666667,2.33333333333333,2.33333333333333,15,100,1.33333333333333,"blocked"
"21",2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,15,100,0,"blocked"
"22",4,3.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,15,100,1.33333333333333,"blocked"
"23",3,3.33333333333333,2.66666666666667,4,3.33333333333333,15,100,1.33333333333333,"blocked"
"24",3.66666666666667,3.33333333333333,3.66666666666667,2.66666666666667,2.66666666666667,15,100,1,"blocked"
"25",1.66666666666667,2,2.66666666666667,3.33333333333333,3.33333333333333,15,100,1.66666666666667,"blocked"
"26",2.66666666666667,3.33333333333333,3.66666666666667,3,2.33333333333333,15,100,1.33333333333333,"blocked"
"27",2.66666666666667,3.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,15,100,1,"blocked"
"28",3,2.33333333333333,2,3,3,15,100,1,"blocked"
"29",2.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,15,100,0.666666666666667,"blocked"
"30",2.33333333333333,2,2.66666666666667,2.66666666666667,3.66666666666667,15,100,1.66666666666667,"blocked"
"31",3.33333333333333,2,3.33333333333333,3,2,15,100,1.33333333333333,"blocked"
"32",3,2.33333333333333,2.33333333333333,4,3.66666666666667,15,100,1.66666666666667,"blocked"
"33",2.66666666666667,4,2.66666666666667,3,3,15,100,1.33333333333333,"blocked"
"34",2.66666666666667,2.33333333333333,3,2.33333333333333,2.66666666666667,15,100,0.666666666666667,"blocked"
"35",2.66666666666667,3,3,1.66666666666667,2.66666666666667,15,100,1.33333333333333,"blocked"
"36",4,2.66666666666667,3.66666666666667,2.66666666666667,4,15,100,1.33333333333333,"blocked"
"37",3.66666666666667,2.66666666666667,4,3.66666666666667,2.66666666666667,15,100,1.33333333333333,"blocked"
"38",2.66666666666667,3,2.66666666666667,4,4,15,100,1.33333333333333,"blocked"
"39",3,4.33333333333333,3.33333333333333,4,3.66666666666667,15,100,1.33333333333333,"blocked"
"40",1.66666666666667,4,3,3.66666666666667,1.66666666666667,15,100,2.33333333333333,"blocked"
"41",2.66666666666667,2.33333333333333,3,2.33333333333333,3,15,100,0.666666666666667,"blocked"
"42",2.66666666666667,3.66666666666667,2.66666666666667,3.66666666666667,3.66666666666667,15,100,1,"blocked"
"43",4,3.66666666666667,2.66666666666667,3,3.66666666666667,15,100,1.33333333333333,"blocked"
"44",3.66666666666667,3.33333333333333,3,2.66666666666667,4,15,100,1.33333333333333,"blocked"
"45",2.33333333333333,2.33333333333333,3,2.33333333333333,3,15,100,0.666666666666667,"blocked"
"46",3.66666666666667,3,4,3.33333333333333,3,15,100,1,"blocked"
"47",2.66666666666667,2,2.66666666666667,2.66666666666667,2,15,100,0.666666666666667,"blocked"
"48",2.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,3.66666666666667,15,100,1.33333333333333,"blocked"
"49",4.33333333333333,4,3,4,3.33333333333333,15,100,1.33333333333333,"blocked"
"50",3,3,3,3.33333333333333,2.33333333333333,15,100,1,"blocked"
