"","control","treatment1","treatment2","treatment3","treatment4","variance","levels","groups","sampled_numbers","repeats","diff","label"
"1",2.828125,2.97101449275362,3.19298245614035,3.02127659574468,3.0077519379845,1.98767334360555,5,5,650,100,0.364857456140351,"rand"
"2",2.8828125,3.01449275362319,3.1140350877193,2.94326241134752,2.86046511627907,1.93984591679507,5,5,650,100,0.253569971440228,"rand"
"3",2.9765625,2.98550724637681,3.14035087719298,3.01418439716312,3.12403100775194,1.99646556832998,5,5,650,100,0.163788377192982,"rand"
"4",2.9140625,2.8768115942029,3.01754385964912,3,2.9922480620155,2.03062937062937,5,5,650,100,0.140732265446224,"rand"
"5",3.0703125,3.05797101449275,2.92105263157895,3.12765957446809,3.0077519379845,2.05836434751689,5,5,650,100,0.206606942889138,"rand"
"6",3.03125,3.17391304347826,2.99122807017544,2.91489361702128,2.92248062015504,2.11550314092687,5,5,650,100,0.259019426456984,"rand"
"7",2.9296875,2.97101449275362,2.97368421052632,2.79432624113475,3.12403100775194,1.96256726324523,5,5,650,100,0.329704766617187,"rand"
"8",3.0234375,3.05797101449275,2.95614035087719,2.97872340425532,3.06976744186047,1.95651534905772,5,5,650,100,0.113627090983272,"rand"
"9",2.9609375,3.17391304347826,2.92982456140351,2.80851063829787,3.02325581395349,1.89328197226502,5,5,650,100,0.365402405180388,"rand"
"10",2.96875,3.18115942028985,2.98245614035088,2.97872340425532,3.03100775193798,1.87578523171744,5,5,650,100,0.212409420289855,"rand"
"11",3.109375,3.01449275362319,3.09649122807018,2.93617021276596,2.85271317829457,1.9861301410454,5,5,650,100,0.256661821705426,"rand"
"12",3.1328125,2.97826086956522,2.80701754385965,2.93617021276596,2.89922480620155,1.94855991466161,5,5,650,100,0.325794956140351,"rand"
"13",3.0703125,3.06521739130435,2.71929824561404,2.86524822695035,2.97674418604651,2.04931610762119,5,5,650,100,0.351014254385965,"rand"
"14",3.0703125,2.93478260869565,2.99122807017544,3.0354609929078,2.94573643410853,1.89366125400024,5,5,650,100,0.135529891304348,"rand"
"15",3.1328125,3.11594202898551,2.92105263157895,2.82978723404255,2.90697674418605,1.95959701315634,5,5,650,100,0.303025265957447,"rand"
"16",3.203125,2.98550724637681,3,2.95035460992908,3.14728682170543,1.97535616925447,5,5,650,100,0.252770390070922,"rand"
"17",3.0234375,3,2.8859649122807,2.97163120567376,3.02325581395349,1.95811070285647,5,5,650,100,0.137472587719298,"rand"
"18",2.9296875,2.95652173913043,3.21052631578947,3.09929078014184,2.98449612403101,2.08061870333057,5,5,650,100,0.280838815789474,"rand"
"19",2.78125,3.05797101449275,3.31578947368421,3.04255319148936,2.89147286821705,1.98752163091146,5,5,650,100,0.534539473684211,"rand"
"20",3.0390625,2.94927536231884,3.01754385964912,2.88652482269504,3,2.07643475168899,5,5,650,100,0.152537677304965,"rand"
"21",2.953125,2.94927536231884,2.85964912280702,3.08510638297872,2.93798449612403,2.02779423965865,5,5,650,100,0.225457260171706,"rand"
"22",2.9609375,2.88405797101449,3.13157894736842,2.97163120567376,3.10077519379845,2.0477444589309,5,5,650,100,0.247520976353929,"rand"
"23",2.96875,2.98550724637681,3.18421052631579,2.90780141843972,2.92248062015504,1.95978665402394,5,5,650,100,0.276409107876073,"rand"
"24",2.8984375,3.01449275362319,3.00877192982456,2.9290780141844,2.97674418604651,1.95098020623444,5,5,650,100,0.116055253623188,"rand"
"25",3.1328125,2.77536231884058,3.03508771929825,2.9645390070922,2.86821705426357,2.07153253526135,5,5,650,100,0.35745018115942,"rand"
