"","method","variable","value","diff"
"1","true","Dem","0.4320"," 0.0000"
"2","hd.ord","Dem","0.4330"," 0.0010"
"3","hd.norm.orig","Dem","0.4332"," 0.0012"
"4","amelia","Dem","0.4321"," 0.0001"
"5","mice","Dem","0.4320"," 0.0000"
"6","na.omit","Dem","0.4085","-0.0235"
"7","true","Ind","0.2820"," 0.0000"
"8","hd.ord","Ind","0.2823"," 0.0003"
"9","hd.norm.orig","Ind","0.2821"," 0.0001"
"10","amelia","Ind","0.2820"," 0.0000"
"11","mice","Ind","0.2820"," 0.0000"
"12","na.omit","Ind","0.2716","-0.0104"
"13","true","Black","0.1070"," 0.0000"
"14","hd.ord","Black","0.1074"," 0.0004"
"15","hd.norm.orig","Black","0.1073"," 0.0003"
"16","amelia","Black","0.1070"," 0.0000"
"17","mice","Black","0.1068","-0.0002"
"18","na.omit","Black","0.0837","-0.0233"
"19","true","Hisp","0.0910"," 0.0000"
"20","hd.ord","Hisp","0.0913"," 0.0003"
"21","hd.norm.orig","Hisp","0.0912"," 0.0002"
"22","amelia","Hisp","0.0910"," 0.0000"
"23","mice","Hisp","0.0909","-0.0001"
"24","na.omit","Hisp","0.0667","-0.0243"
"25","true","Empl","0.4260"," 0.0000"
"26","hd.ord","Empl","0.4274"," 0.0014"
"27","hd.norm.orig","Empl","0.4276"," 0.0016"
"28","amelia","Empl","0.4262"," 0.0002"
"29","mice","Empl","0.4263"," 0.0003"
"30","na.omit","Empl","0.3956","-0.0304"
"31","true","Stud","0.0490"," 0.0000"
"32","hd.ord","Stud","0.0492"," 0.0002"
"33","hd.norm.orig","Stud","0.0491"," 0.0001"
"34","amelia","Stud","0.0491"," 0.0001"
"35","mice","Stud","0.0491"," 0.0001"
"36","na.omit","Stud","0.0343","-0.0147"
"37","true","Male","0.4630"," 0.0000"
"38","hd.ord","Male","0.4631"," 0.0001"
"39","hd.norm.orig","Male","0.4630"," 0.0000"
"40","amelia","Male","0.4631"," 0.0001"
"41","mice","Male","0.4632"," 0.0002"
"42","na.omit","Male","0.4328","-0.0302"
