"","method","variable","value","diff"
"1","true","Rep","0.2650"," 0.0000"
"2","hd.ord","Rep","0.2652"," 0.0002"
"3","hd.norm.orig","Rep","0.2656"," 0.0006"
"4","amelia","Rep","0.2648","-0.0002"
"5","mice","Rep","0.2650"," 0.0000"
"6","na.omit","Rep","0.2738"," 0.0088"
"7","true","Ind","0.3210"," 0.0000"
"8","hd.ord","Ind","0.3217"," 0.0007"
"9","hd.norm.orig","Ind","0.3215"," 0.0005"
"10","amelia","Ind","0.3211"," 0.0001"
"11","mice","Ind","0.3211"," 0.0001"
"12","na.omit","Ind","0.3012","-0.0198"
"13","true","Black","0.0960"," 0.0000"
"14","hd.ord","Black","0.0960"," 0.0000"
"15","hd.norm.orig","Black","0.0960"," 0.0000"
"16","amelia","Black","0.0959","-0.0001"
"17","mice","Black","0.0960"," 0.0000"
"18","na.omit","Black","0.0869","-0.0091"
"19","true","Hisp","0.0690"," 0.0000"
"20","hd.ord","Hisp","0.0690"," 0.0000"
"21","hd.norm.orig","Hisp","0.0688","-0.0002"
"22","amelia","Hisp","0.0690"," 0.0000"
"23","mice","Hisp","0.0691"," 0.0001"
"24","na.omit","Hisp","0.0560","-0.0130"
"25","true","Empl","0.4300"," 0.0000"
"26","hd.ord","Empl","0.4305"," 0.0005"
"27","hd.norm.orig","Empl","0.4307"," 0.0007"
"28","amelia","Empl","0.4303"," 0.0003"
"29","mice","Empl","0.4302"," 0.0002"
"30","na.omit","Empl","0.4013","-0.0287"
"31","true","Stud","0.0300"," 0.0000"
"32","hd.ord","Stud","0.0299","-0.0001"
"33","hd.norm.orig","Stud","0.0298","-0.0002"
"34","amelia","Stud","0.0300"," 0.0000"
"35","mice","Stud","0.0300"," 0.0000"
"36","na.omit","Stud","0.0217","-0.0083"
"37","true","Male","0.4490"," 0.0000"
"38","hd.ord","Male","0.4493"," 0.0003"
"39","hd.norm.orig","Male","0.4495"," 0.0005"
"40","amelia","Male","0.4493"," 0.0003"
"41","mice","Male","0.4493"," 0.0003"
"42","na.omit","Male","0.4238","-0.0252"
"43","true","Gay","0.0390"," 0.0000"
"44","hd.ord","Gay","0.0388","-0.0002"
"45","hd.norm.orig","Gay","0.0389","-0.0001"
"46","amelia","Gay","0.0388","-0.0002"
"47","mice","Gay","0.0390"," 0.0000"
"48","na.omit","Gay","0.0265","-0.0125"
"49","true","StudLoans","0.2040"," 0.0000"
"50","hd.ord","StudLoans","0.2039","-0.0001"
"51","hd.norm.orig","StudLoans","0.2039","-0.0001"
"52","amelia","StudLoans","0.2042"," 0.0002"
"53","mice","StudLoans","0.2042"," 0.0002"
"54","na.omit","StudLoans","0.1768","-0.0272"
"55","true","InternetHome","0.9740"," 0.0000"
"56","hd.ord","InternetHome","0.9742"," 0.0002"
"57","hd.norm.orig","InternetHome","0.9742"," 0.0002"
"58","amelia","InternetHome","0.9740"," 0.0000"
"59","mice","InternetHome","0.9740"," 0.0000"
"60","na.omit","InternetHome","0.9709","-0.0031"
"61","true","Moderate","0.3550"," 0.0000"
"62","hd.ord","Moderate","0.3547","-0.0003"
"63","hd.norm.orig","Moderate","0.3546","-0.0004"
"64","amelia","Moderate","0.3551"," 0.0001"
"65","mice","Moderate","0.3552"," 0.0002"
"66","na.omit","Moderate","0.3297","-0.0253"
"67","true","NotReligious","0.3580"," 0.0000"
"68","hd.ord","NotReligious","0.3580"," 0.0000"
"69","hd.norm.orig","NotReligious","0.3577","-0.0003"
"70","amelia","NotReligious","0.3579","-0.0001"
"71","mice","NotReligious","0.3580"," 0.0000"
"72","na.omit","NotReligious","0.3257","-0.0323"
"73","true","RentHome","0.2970"," 0.0000"
"74","hd.ord","RentHome","0.2963","-0.0007"
"75","hd.norm.orig","RentHome","0.2963","-0.0007"
"76","amelia","RentHome","0.2970"," 0.0000"
"77","mice","RentHome","0.2970"," 0.0000"
"78","na.omit","RentHome","0.2633","-0.0337"
"79","true","Separated","0.1830"," 0.0000"
"80","hd.ord","Separated","0.1831"," 0.0001"
"81","hd.norm.orig","Separated","0.1832"," 0.0002"
"82","amelia","Separated","0.1830"," 0.0000"
"83","mice","Separated","0.1832"," 0.0002"
"84","na.omit","Separated","0.1733","-0.0097"
