"","method","variable","value","diff"
"1","true","Dem"," 0.3545"," 0.0000"
"2","hd.ord","Dem"," 0.3548"," 0.0003"
"3","hd.norm.orig","Dem"," 0.3548"," 0.0003"
"4","amelia","Dem"," 0.3545"," 0.0000"
"5","mice","Dem"," 0.3545"," 0.0000"
"6","na.omit","Dem"," 0.3243","-0.0302"
"7","true","inc","15.6582"," 0.0000"
"8","hd.ord","inc","15.6607"," 0.0025"
"9","hd.norm.orig","inc","15.6427","-0.0155"
"10","amelia","inc","15.6601"," 0.0019"
"11","mice","inc","15.6600"," 0.0018"
"12","na.omit","inc","15.0573","-0.6009"
"13","true","age","48.9994"," 0.0000"
"14","hd.ord","age","48.9637","-0.0357"
"15","hd.norm.orig","age","48.9124","-0.0870"
"16","amelia","age","48.9997"," 0.0003"
"17","mice","age","48.9981","-0.0013"
"18","na.omit","age","47.6365","-1.3629"
"19","true","Male"," 0.4712"," 0.0000"
"20","hd.ord","Male"," 0.4712"," 0.0000"
"21","hd.norm.orig","Male"," 0.4711","-0.0001"
"22","amelia","Male"," 0.4711","-0.0001"
"23","mice","Male"," 0.4710","-0.0002"
"24","na.omit","Male"," 0.4348","-0.0364"
"25","true","interest"," 2.7866"," 0.0000"
"26","hd.ord","interest"," 2.7851","-0.0015"
"27","hd.norm.orig","interest"," 2.7835","-0.0031"
"28","amelia","interest"," 2.7867"," 0.0001"
"29","mice","interest"," 2.7867"," 0.0001"
"30","na.omit","interest"," 2.7107","-0.0759"
